Precision,Intercept,SE (Intercept),t,df,Intercept p,Slope,SE (Slope),Slope p,n_used
SE,-5.165,0.863,-5.99,63,< 0.001,1.864,0.45,< 0.001,65
1/sqrt(n),-4.815,3.721,-1.29,63,0.200,0.125,0.884,0.888,65
