Precision,Intercept,SE (Intercept),t,df,Intercept p,Slope,SE (Slope),Slope p,n_used
SE,-5.478,0.925,-5.92,69,< 0.001,1.779,0.458,< 0.001,71
1/sqrt(n),-1.527,4.9,-0.31,69,0.756,-0.834,1.066,0.437,71
