Precision,Intercept,SE (Intercept),t,df,Intercept p,Slope,SE (Slope),Slope p,n_used
SE,-5.13,0.554,-9.26,106,< 0.001,1.733,0.293,< 0.001,108
1/sqrt(n),-9.143,3.826,-2.39,106,0.019,0.803,0.897,0.372,108
