study,author,year,tx_dur,tx_dose,tx_n,c_n,hedges,se,paradigm,measure,rodent,diseas,dis_pre,dis_tre
31,"Wang, H.-T.",2017,7,50,8,8,-1.478,0.584,Forced Swim Test,Immobility,rat,0,0,0
31,"Wang, H.-T.",2017,7,50,8,8,-0.412,0.507,Sucrose Preference Test,% preference,rat,0,0,0
32,"Wang, H.-T.",2017,7,50,9,9,-1.808,0.582,Forced Swim Test,Immobility,rat,1,0,1
32,"Wang, H.-T.",2017,7,50,9,9,-1.48,0.548,Sucrose Preference Test,% preference,rat,1,0,1
33,"Wong, M.-L.",2016,21,5,12,12,0.63,0.42,Forced Swim Test,Immobility,mice,0,0,0
34,"Wong, M.-L.",2016,21,5,15,15,-0.842,0.383,Forced Swim Test,Immobility,mice,1,1,0
35,"Xu, N.",2017,15,40,12,12,-0.392,0.413,Forced Swim Test,Immobility,rat,0,0,0
35,"Xu, N.",2017,15,40,12,12,0.613,0.42,Sucrose Preference Test,% preference,rat,0,0,0
36,"Xu, N.",2017,15,40,12,12,-1.193,0.45,Forced Swim Test,Immobiltiy,rat,1,1,0
36,"Xu, N.",2017,15,40,12,12,-1.102,0.444,Sucrose Preference Test,% preference,rat,1,1,0
37,Zheng L.-S.,2015,37,50,10,10,0.056,0.447,Tail Suspension Test,Immobility,mice,0,0,0
37,Zheng L.-S.,2015,37,50,10,10,0.094,0.448,Forced Swim Test,Immobility,mice,0,0,0
38,Zheng L.-S.,2015,37,50,10,10,-1.165,0.492,Tail Suspension Test,Immobility,mice,1,1,0
38,Zheng L.-S.,2015,37,50,10,10,-1.188,0.494,Forced Swim Test,Immobility,mice,1,1,0
39,Zheng X.,2014,3,30,6,6,-0.984,0.627,Sucrose Preference Test,% preference,rat,1,1,0
