id,study_id,exp_id,test,measure,effect_direction,effect_direction_correction,n_ctrl,mean_ctrl,sd_ctrl,n_mino,mean_mino,sd_mino
69,Souza_2017,Souza_2017_Group2,Forced swim,immobility,Flipped,-1,6,239.7433047,19.0889879,6,190.4592854,14.0262126
70,Souza_2017,Souza_2017_Group2,Splash test ,grooming time,Auto,1,6,46.79142668,14.11271513,6,95.61240484,12.37884959
71,Tong_2017,Tong_2017_Group1,Tail suspension,immobility,Flipped,-1,12,118.3668174,29.53349901,12,114.384774,19.02721785
72,Tong_2017,Tong_2017_Group1,Forced swim,immobility,Flipped,-1,12,101.7945519,14.04033014,12,106.8611696,12.28485586
73,Tong_2017,Tong_2017_Group1,Sucrose preference,% preference,Auto,1,12,70.80594767,7.617399471,12,75.2043553,5.503667964
74,Tong_2017,Tong_2017_Group2,Tail suspension,immobility,Flipped,-1,12,160.3688667,23.16056503,12,121.2111532,19.68043067
75,Tong_2017,Tong_2017_Group2,Forced swim,immobility,Flipped,-1,12,129.2451465,19.42121096,12,110.533502,17.51342831
76,Tong_2017,Tong_2017_Group2,Sucrose preference,% preference,Auto,1,12,41.21820818,11.38219937,12,72.03441092,18.37341517
77,Tong_2017,Tong_2017_Group3,Tail suspension,immobility,Flipped,-1,12,94.29488851,23.25388115,12,96.88566238,10.37271365
78,Tong_2017,Tong_2017_Group3,Forced swim,immobility,Flipped,-1,12,109.5667079,21.21890654,12,101.6789783,17.67357169
79,Tong_2017,Tong_2017_Group3,Sucrose preference,% preference,Auto,1,12,80.43514427,9.864482545,12,78.02159065,7.408545446
80,Tong_2017,Tong_2017_Group4,Tail suspension,immobility,Flipped,-1,12,125.2143249,24.11211984,12,101.1809536,17.5140343
81,Tong_2017,Tong_2017_Group4,Forced swim,immobility,Flipped,-1,12,135.070526,37.61133115,12,110.533502,11.49024189
82,Tong_2017,Tong_2017_Group4,Sucrose preference,% preference,Auto,1,12,35.9528646,15.01153725,12,64.25661824,12.77848344
83,Tong_2017,Tong_2017_Group5,Tail suspension,immobility,Flipped,-1,12,96.91260042,10.0927653,12,105.0605546,13.88751909
84,Tong_2017,Tong_2017_Group5,Forced swim,immobility,Flipped,-1,12,107.7817343,11.33009851,12,104.2122872,14.84104707
85,Tong_2017,Tong_2017_Group5,Sucrose preference,% preference,Auto,1,12,75.68929597,9.625459534,12,70.35961152,14.49064662
86,Tong_2017,Tong_2017_Group6,Tail suspension,immobility,Flipped,-1,12,138.8010877,22.58054264,12,111.6270621,14.76761553
